"Index","USD.CNY"
"2019-06-21",6.867482
"2019-06-22",6.8699
"2019-06-23",6.8699
"2019-06-24",6.876874
"2019-06-25",6.87989
"2019-06-26",6.881507
"2019-06-27",6.87793
"2019-06-28",6.869298
"2019-06-29",6.8668
"2019-06-30",6.8668
"2019-07-01",6.849176
"2019-07-02",6.869677
"2019-07-03",6.881946
"2019-07-04",6.872244
"2019-07-05",6.883704
"2019-07-06",6.8936
"2019-07-07",6.8936
"2019-07-08",6.884651
"2019-07-09",6.886244
"2019-07-10",6.879533
"2019-07-11",6.868514
"2019-07-12",6.877808
"2019-07-13",6.8808
"2019-07-14",6.8808
"2019-07-15",6.876679
"2019-07-16",6.87615
"2019-07-17",6.877301
"2019-07-18",6.878706
"2019-07-19",6.878496
"2019-07-20",6.8819
"2019-07-21",6.881904
"2019-07-22",6.880412
"2019-07-23",6.880358
"2019-07-24",6.87617
"2019-07-25",6.873469
"2019-07-26",6.87854
"2019-07-27",6.8792
"2019-07-28",6.8792
"2019-07-29",6.891312
"2019-07-30",6.885388
"2019-07-31",6.884176
"2019-08-01",6.897673
"2019-08-02",6.928183
"2019-08-03",6.9402
"2019-08-04",6.9402
"2019-08-05",7.010297
"2019-08-06",7.033287
"2019-08-07",7.05088
"2019-08-08",7.046386
"2019-08-09",7.056766
"2019-08-10",7.0624
"2019-08-11",7.062402
"2019-08-12",7.06035
"2019-08-13",7.055588
"2019-08-14",7.028011
"2019-08-15",7.033044
